order_id,product,category,quantity,price_per_unit,total_price,order_date
0,Hammer,Beauty,1,140.0,140.0,2024-03-11
1,Shoes,Books,7,200.0,1400.0,2023-11-13
2,Hat,Tools,4,90.0,360.0,2024-05-12
3,Pants,Clothing,5,40.0,200.0,2023-07-07
4,Shirt,Movies,6,1000.0,6000.0,2023-10-30
5,Basketball,Movies,10,130.0,1300.0,2023-09-18
6,Hammer,Beauty,3,100.0,300.0,2023-06-11
7,Shoes,Pets,1,170.0,170.0,2024-03-09
8,Socks,Health,7,140.0,980.0,2023-08-23
9,Shoes,Drinks,1,50.0,50.0,2024-03-30
10,Hat,Health,6,20.0,120.0,2024-04-16
11,Socks,Furniture,4,20.0,80.0,2023-09-09
12,Basketball,Sports,1,110.0,110.0,2023-06-23
13,Socks,Drinks,1,30.0,30.0,2024-03-19
14,Laptop,Sports,9,60.0,540.0,2023-12-29
15,Gloves,Garden,1,60.0,60.0,2024-05-27
16,Gloves,Automotive,5,140.0,700.0,2023-11-06
17,Hat,Garden,10,150.0,1500.0,2024-02-28
18,Basketball,Electronics,7,30.0,210.0,2024-02-12
19,Gloves,Kitchen,10,160.0,1600.0,2023-08-10
20,Shoes,Pets,4,160.0,640.0,2024-02-05
21,Hat,Books,3,180.0,540.0,2023-06-11
22,Gloves,Movies,8,70.0,560.0,2023-07-26
23,Pants,Beauty,6,90.0,540.0,2023-10-02
24,Socks,Books,10,200.0,2000.0,2023-10-15
25,Gloves,Toys,6,150.0,900.0,2023-12-10
26,Hammer,Jewelry,3,1000.0,3000.0,2024-04-17
27,Gloves,Jewelry,9,200.0,1800.0,2023-07-06
28,Laptop,Health,3,20.0,60.0,2024-03-21
29,Hat,Automotive,5,20.0,100.0,2024-01-21
30,Pants,Books,4,170.0,680.0,2024-01-02
31,Laptop,Kitchen,2,40.0,80.0,2023-12-10
32,Basketball,Beauty,9,50.0,450.0,2024-02-22
33,Basketball,Electronics,3,30.0,90.0,2024-01-12
34,Hat,Books,7,10.0,70.0,2023-12-19
35,Laptop,Jewelry,6,40.0,240.0,2023-09-21
36,Laptop,Office,8,180.0,1440.0,2023-08-02
37,Hammer,Drinks,10,10.0,100.0,2024-05-29
38,Shoes,Beauty,7,20.0,140.0,2023-12-02
39,Basketball,Beauty,10,190.0,1900.0,2023-06-27
40,Hat,Outdoors,1,30.0,30.0,2023-06-18
41,Hammer,Outdoors,5,200.0,1000.0,2023-08-15
42,Shirt,Drinks,3,160.0,480.0,2024-05-31
43,Laptop,Movies,8,130.0,1040.0,2023-10-31
44,Basketball,Music,4,30.0,120.0,2023-07-25
45,Pants,Garden,8,50.0,400.0,2024-06-02
46,Socks,Toys,2,70.0,140.0,2023-12-19
47,Socks,Electronics,3,180.0,540.0,2024-06-02
48,Jacket,Garden,8,170.0,1360.0,2023-07-17
49,Gloves,Office,9,140.0,1260.0,2024-05-15
50,Basketball,Drinks,7,1000.0,7000.0,2023-08-19
51,Laptop,Garden,7,100.0,700.0,2023-06-21
52,Jacket,Toys,3,120.0,360.0,2023-06-23
53,Hat,Toys,9,20.0,180.0,2023-09-06
54,Jacket,Kitchen,7,180.0,1260.0,2024-05-31
55,Basketball,Pets,10,200.0,2000.0,2023-11-09
56,Pants,Garden,5,190.0,950.0,2024-05-29
57,Jacket,Office,3,40.0,120.0,2023-07-31
58,Hat,Movies,5,160.0,800.0,2023-10-24
59,Basketball,Garden,3,80.0,240.0,2024-03-24
60,Jacket,Movies,2,150.0,300.0,2024-02-04
61,Laptop,Office,10,90.0,900.0,2023-06-12
62,Shoes,Pets,7,130.0,910.0,2023-07-23
63,Jacket,Electronics,8,10.0,80.0,2023-12-13
64,Pants,Automotive,8,60.0,480.0,2024-04-07
65,Shoes,Health,8,60.0,480.0,2023-08-03
66,Gloves,Jewelry,2,50.0,100.0,2023-07-29
67,Basketball,Electronics,4,30.0,120.0,2023-07-14
68,Shirt,Office,9,170.0,1530.0,2023-09-12
69,Hat,Food,3,40.0,120.0,2023-09-24
70,Hat,Outdoors,8,200.0,1600.0,2024-02-11
71,Hammer,Tools,5,160.0,800.0,2023-08-15
72,Hat,Books,4,40.0,160.0,2024-03-08
73,Shirt,Music,8,10.0,80.0,2023-11-18
74,Basketball,Beauty,2,40.0,80.0,2024-02-03
75,Hammer,Drinks,1,1000.0,1000.0,2024-02-04
76,Hat,Food,8,170.0,1360.0,2023-07-09
77,Socks,Sports,6,90.0,540.0,2023-10-26
78,Shirt,Pets,10,120.0,1200.0,2024-05-16
79,Shirt,Music,5,40.0,200.0,2024-04-16
80,Socks,Drinks,5,40.0,200.0,2024-03-28
